Phase,precision,recall,f1-score,support
Class 0,0.9230769230769231,0.8780487804878049,0.9,82.0
Class 1,0.9,0.8181818181818182,0.8571428571428571,66.0
Class 2,0.7647058823529411,0.9629629629629629,0.8524590163934426,27.0
Class 3,1.0,0.9375,0.967741935483871,32.0
Class 4,0.9365079365079365,0.9833333333333333,0.959349593495935,60.0
Class 5,0.9024390243902439,1.0,0.9487179487179487,37.0
Class 6,1.0,0.9142857142857143,0.9552238805970149,35.0
Class 7,0.9411764705882353,0.8205128205128205,0.8767123287671232,39.0
Class 8,0.7142857142857143,0.6896551724137931,0.7017543859649122,29.0
Class 9,0.7878787878787878,0.896551724137931,0.8387096774193549,29.0
Class 10,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
Class 11,0.875,0.6666666666666666,0.7567567567567568,21.0
Class 12,0.9047619047619048,0.7916666666666666,0.8444444444444444,24.0
Class 13,0.8529411764705882,0.7435897435897436,0.7945205479452054,39.0
Class 14,0.8,0.8571428571428571,0.8275862068965517,28.0
Class 15,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Class 16,0.6538461538461539,0.8947368421052632,0.7555555555555555,38.0
Class 17,0.6739130434782609,0.8611111111111112,0.7560975609756098,36.0
Class 18,0.75,0.6122448979591837,0.6741573033707865,49.0
accuracy,0.8511821974965229,0.8511821974965229,0.8511821974965229,0.8511821974965229
macro avg,0.8515465048605438,0.8470977778012809,0.8447060987175571,719.0
weighted avg,0.859756984386444,0.8511821974965229,0.8512842271306339,719.0
