,precision,recall,f1-score,support
G1,0.875,1.0,0.9333333333333333,7.0
G11,1.0,1.0,1.0,19.0
G12,0.8823529411764706,1.0,0.9375,15.0
G13,1.0,1.0,1.0,18.0
G14,1.0,0.8095238095238095,0.8947368421052632,21.0
G15,0.8947368421052632,1.0,0.9444444444444444,17.0
G2,0.8596491228070176,0.9607843137254902,0.9074074074074074,51.0
G3,0.8983050847457628,0.9814814814814815,0.9380530973451328,54.0
G4,0.9428571428571428,0.9166666666666666,0.9295774647887324,36.0
G5,0.9,0.6923076923076923,0.782608695652174,13.0
G6,0.8867924528301887,0.9215686274509803,0.9038461538461539,51.0
G8,0.9285714285714286,0.65,0.7647058823529411,20.0
G9,0.0,0.0,0.0,4.0
accuracy,0.911042944785276,0.911042944785276,0.911042944785276,0.911042944785276
macro avg,0.8514050011610212,0.8409486608581631,0.84124717855966,326.0
weighted avg,0.902951230311322,0.911042944785276,0.9030750947134959,326.0
