,precision,recall,f1-score,support
G1,0.875,1.0,0.9333333333333333,7.0
G11,0.95,1.0,0.9743589743589743,19.0
G12,0.8823529411764706,1.0,0.9375,15.0
G13,1.0,1.0,1.0,18.0
G14,1.0,0.8095238095238095,0.8947368421052632,21.0
G15,0.8947368421052632,1.0,0.9444444444444444,17.0
G2,0.9215686274509803,0.9215686274509803,0.9215686274509803,51.0
G3,0.9122807017543859,0.9629629629629629,0.9369369369369369,54.0
G4,0.8648648648648649,0.8888888888888888,0.8767123287671232,36.0
G5,0.9,0.6923076923076923,0.782608695652174,13.0
G6,0.8392857142857143,0.9215686274509803,0.8785046728971962,51.0
G8,0.875,0.7,0.7777777777777778,20.0
G9,0.0,0.0,0.0,4.0
accuracy,0.901840490797546,0.901840490797546,0.901840490797546,0.901840490797546
macro avg,0.8396222839721291,0.838216969891178,0.835267894901862,326.0
weighted avg,0.8927076223677298,0.901840490797546,0.8946108234138703,326.0
