task,trial,subject,video_path,start_frame,end_frame,gesture
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,10,119,G1
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,120,245,G5
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,246,341,G2
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,342,752,G3
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,753,902,G6
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,903,1076,G4
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1077,1146,G2
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1147,1462,G3
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1463,1637,G6
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1638,1763,G4
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1764,1843,G2
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1844,2036,G3
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2037,2347,G6
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2348,2573,G4
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2574,2642,G2
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2643,2920,G3
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2921,3076,G6
