task,trial,subject,video_path,start_frame,end_frame,gesture,clip_path
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,10,119,G1,/kaggle/working/clips/train_0.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,120,245,G5,/kaggle/working/clips/train_1.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,246,341,G2,/kaggle/working/clips/train_2.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,342,752,G3,/kaggle/working/clips/train_3.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,753,902,G6,/kaggle/working/clips/train_4.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,903,1076,G4,/kaggle/working/clips/train_5.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1077,1146,G2,/kaggle/working/clips/train_6.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1147,1462,G3,/kaggle/working/clips/train_7.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1463,1637,G6,/kaggle/working/clips/train_8.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1638,1763,G4,/kaggle/working/clips/train_9.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1764,1843,G2,/kaggle/working/clips/train_10.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,1844,2036,G3,/kaggle/working/clips/train_11.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2037,2347,G6,/kaggle/working/clips/train_12.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2348,2573,G4,/kaggle/working/clips/train_13.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2574,2642,G2,/kaggle/working/clips/train_14.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2643,2920,G3,/kaggle/working/clips/train_15.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,2921,3076,G6,/kaggle/working/clips/train_16.npy
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,3077,3593,G11,/kaggle/working/clips/train_17.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,35,85,G1,/kaggle/working/clips/train_18.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,86,164,G5,/kaggle/working/clips/train_19.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,165,215,G8,/kaggle/working/clips/train_20.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,216,294,G2,/kaggle/working/clips/train_21.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,295,532,G3,/kaggle/working/clips/train_22.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,533,753,G6,/kaggle/working/clips/train_23.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,754,854,G4,/kaggle/working/clips/train_24.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,855,934,G2,/kaggle/working/clips/train_25.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,935,1145,G3,/kaggle/working/clips/train_26.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1146,1254,G6,/kaggle/working/clips/train_27.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1255,1369,G4,/kaggle/working/clips/train_28.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1370,1475,G2,/kaggle/working/clips/train_29.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1476,1701,G3,/kaggle/working/clips/train_30.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1702,1801,G6,/kaggle/working/clips/train_31.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1802,1995,G4,/kaggle/working/clips/train_32.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1996,2199,G2,/kaggle/working/clips/train_33.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,2200,2498,G3,/kaggle/working/clips/train_34.npy
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,2499,2838,G11,/kaggle/working/clips/train_35.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1,11,G1,/kaggle/working/clips/train_36.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,12,101,G5,/kaggle/working/clips/train_37.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,102,446,G8,/kaggle/working/clips/train_38.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,447,516,G2,/kaggle/working/clips/train_39.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,517,967,G3,/kaggle/working/clips/train_40.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,968,1115,G6,/kaggle/working/clips/train_41.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1116,1186,G4,/kaggle/working/clips/train_42.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1187,1261,G2,/kaggle/working/clips/train_43.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1262,1489,G3,/kaggle/working/clips/train_44.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1490,1667,G6,/kaggle/working/clips/train_45.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1668,1779,G4,/kaggle/working/clips/train_46.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1780,1845,G2,/kaggle/working/clips/train_47.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1846,2089,G3,/kaggle/working/clips/train_48.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2090,2234,G6,/kaggle/working/clips/train_49.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2235,2329,G4,/kaggle/working/clips/train_50.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2330,2372,G2,/kaggle/working/clips/train_51.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2373,2588,G3,/kaggle/working/clips/train_52.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2589,2693,G6,/kaggle/working/clips/train_53.npy
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2694,2848,G11,/kaggle/working/clips/train_54.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,31,77,G1,/kaggle/working/clips/train_55.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,78,129,G5,/kaggle/working/clips/train_56.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,130,182,G2,/kaggle/working/clips/train_57.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,183,342,G3,/kaggle/working/clips/train_58.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,343,427,G6,/kaggle/working/clips/train_59.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,428,522,G9,/kaggle/working/clips/train_60.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,523,630,G4,/kaggle/working/clips/train_61.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,631,721,G2,/kaggle/working/clips/train_62.npy
