epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.027,1.95893,2.31962,2.17718,0.49608,0.4968,0.4835,0.196,2.03434,3.61185,2.18925,0.000332211,0.000332211,0.0671111
2,406.616,1.8806,1.93156,2.11548,0.6699,0.60496,0.65017,0.26803,2.00266,2.18067,2.16298,0.000665382,0.000665382,0.0341109
3,589.584,1.83881,1.83481,2.06829,0.57843,0.52296,0.51583,0.18451,2.16547,2.32437,2.31799,0.000997902,0.000997902,0.00111014
4,770.682,1.78693,1.6841,2.02229,0.72282,0.70079,0.74545,0.32981,1.95664,2.04138,2.05493,0.000997803,0.000997803,0.000997803
5,952.347,1.72602,1.53831,1.96031,0.76644,0.75768,0.81333,0.4024,1.79441,1.37643,1.92066,0.000996097,0.000996097,0.000996097
6,1140.14,1.6945,1.45508,1.92955,0.75618,0.68661,0.77417,0.33468,1.96163,1.44039,2.0664,0.000993906,0.000993906,0.000993906
7,1322.01,1.67942,1.36237,1.9084,0.83194,0.76844,0.84695,0.43685,1.73135,1.21879,1.89416,0.000991232,0.000991232,0.000991232
8,1504.7,1.6512,1.33051,1.88211,0.83015,0.80526,0.8818,0.45015,1.74946,1.10814,1.88295,0.000988079,0.000988079,0.000988079
9,1692.98,1.60648,1.24694,1.83925,0.82628,0.77342,0.8407,0.42998,1.74919,1.1627,1.87918,0.000984449,0.000984449,0.000984449
10,1874.49,1.57854,1.23105,1.81787,0.79821,0.78506,0.8582,0.42214,1.73492,1.14986,1.88069,0.000980345,0.000980345,0.000980345
11,2056.23,1.54399,1.14375,1.78775,0.87591,0.81203,0.8969,0.46394,1.71395,0.99106,1.84793,0.000975773,0.000975773,0.000975773
12,2238.41,1.5407,1.13294,1.78794,0.90317,0.81263,0.90727,0.46561,1.72024,0.99379,1.82899,0.000970736,0.000970736,0.000970736
13,2424.86,1.51516,1.08783,1.76615,0.87618,0.82545,0.90686,0.47641,1.61899,1.04047,1.79221,0.000965239,0.000965239,0.000965239
14,2624.67,1.51892,1.10155,1.76675,0.85867,0.81831,0.88996,0.4747,1.65591,1.00744,1.81968,0.000959289,0.000959289,0.000959289
