epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.994,1.92937,2.35492,1.89881,0.72692,0.40012,0.53893,0.25922,1.80936,2.51082,2.33213,0.000330275,0.000330275,0.0673028
2,175.962,1.85239,1.74798,1.82048,0.60833,0.52733,0.4961,0.211,1.94471,3.30249,2.26539,0.000663446,0.000663446,0.0343026
3,252.749,1.80916,1.68314,1.79502,0.31038,0.55257,0.47362,0.22534,1.8924,3.07966,2.10409,0.000995968,0.000995968,0.00130178
4,329.495,1.79598,1.59763,1.76412,0.55759,0.5717,0.61082,0.24692,1.99847,2.26904,2.13063,0.000997803,0.000997803,0.000997803
5,406.204,1.75233,1.48776,1.74642,0.58796,0.56656,0.56155,0.23194,2.00156,2.06964,2.1335,0.000996097,0.000996097,0.000996097
6,482.46,1.70125,1.41781,1.69839,0.83061,0.66793,0.78527,0.38286,1.76647,1.4456,1.90916,0.000993906,0.000993906,0.000993906
7,560.412,1.70261,1.41288,1.69671,0.82604,0.71934,0.81316,0.40342,1.6824,1.24296,1.85756,0.000991232,0.000991232,0.000991232
8,643.696,1.65794,1.3291,1.67594,0.84016,0.71365,0.79559,0.40003,1.69973,1.23752,1.86161,0.000988079,0.000988079,0.000988079
9,723.161,1.64839,1.28835,1.6576,0.84406,0.7442,0.81392,0.39594,1.6598,1.15406,1.84326,0.000984449,0.000984449,0.000984449
10,800.165,1.63368,1.25714,1.65819,0.78262,0.63555,0.76271,0.36789,1.76098,1.32806,1.90926,0.000980345,0.000980345,0.000980345
11,876.866,1.63664,1.23676,1.62996,0.70869,0.76698,0.81463,0.41492,1.69613,1.19833,1.84665,0.000975773,0.000975773,0.000975773
12,953.709,1.59677,1.18675,1.59558,0.82322,0.78697,0.85497,0.44737,1.63994,1.27964,1.81015,0.000970736,0.000970736,0.000970736
13,1030.51,1.58993,1.17198,1.60211,0.83952,0.7582,0.84962,0.42481,1.66534,1.15673,1.81485,0.000965239,0.000965239,0.000965239
